libelle;taux_de_chomage_localise_par_dep;code;filename;annee;trimestre;date
2022-T4;7.5;SD;Cher;2022;10;2022-10
2022-T3;7.5;A;Cher;2022;07;2022-07
2022-T2;7.5;A;Cher;2022;04;2022-04
2022-T1;7.5;A;Cher;2022;01;2022-01
2021-T4;7.5;A;Cher;2021;10;2021-10
2021-T3;7.8;A;Cher;2021;07;2021-07
2021-T2;7.8;A;Cher;2021;04;2021-04
2021-T1;8.1;A;Cher;2021;01;2021-01
2020-T4;7.9;A;Cher;2020;10;2020-10
2020-T3;8.9;A;Cher;2020;07;2020-07
2020-T2;7.2;A;Cher;2020;04;2020-04
2020-T1;8.3;A;Cher;2020;01;2020-01
2019-T4;8.6;A;Cher;2019;10;2019-10
2019-T3;8.7;A;Cher;2019;07;2019-07
2019-T2;8.6;A;Cher;2019;04;2019-04
2019-T1;9.0;A;Cher;2019;01;2019-01
2018-T4;9.0;A;Cher;2018;10;2018-10
2018-T3;9.2;A;Cher;2018;07;2018-07
2018-T2;9.4;A;Cher;2018;04;2018-04
2018-T1;9.7;A;Cher;2018;01;2018-01
2017-T4;9.4;A;Cher;2017;10;2017-10
2017-T3;9.8;A;Cher;2017;07;2017-07
2017-T2;9.8;A;Cher;2017;04;2017-04
2017-T1;9.9;A;Cher;2017;01;2017-01
2016-T4;10.3;A;Cher;2016;10;2016-10
2016-T3;10.2;A;Cher;2016;07;2016-07
2016-T2;10.4;A;Cher;2016;04;2016-04
2016-T1;10.6;A;Cher;2016;01;2016-01
2015-T4;10.5;A;Cher;2015;10;2015-10
2015-T3;10.5;A;Cher;2015;07;2015-07
2015-T2;10.6;A;Cher;2015;04;2015-04
2015-T1;10.3;A;Cher;2015;01;2015-01
2014-T4;10.3;A;Cher;2014;10;2014-10
2014-T3;10.2;A;Cher;2014;07;2014-07
2014-T2;10.0;A;Cher;2014;04;2014-04
2014-T1;10.1;A;Cher;2014;01;2014-01
2013-T4;10.1;A;Cher;2013;10;2013-10
2013-T3;10.4;A;Cher;2013;07;2013-07
2013-T2;10.5;A;Cher;2013;04;2013-04
2013-T1;10.4;A;Cher;2013;01;2013-01
2012-T4;10.1;A;Cher;2012;10;2012-10
2012-T3;9.7;A;Cher;2012;07;2012-07
2012-T2;9.7;A;Cher;2012;04;2012-04
2012-T1;9.4;A;Cher;2012;01;2012-01
2011-T4;9.4;A;Cher;2011;10;2011-10
2011-T3;9.1;A;Cher;2011;07;2011-07
2011-T2;8.9;A;Cher;2011;04;2011-04
2011-T1;8.9;A;Cher;2011;01;2011-01
2010-T4;8.9;A;Cher;2010;10;2010-10
2010-T3;9.0;A;Cher;2010;07;2010-07
2010-T2;9.0;A;Cher;2010;04;2010-04
2010-T1;9.1;A;Cher;2010;01;2010-01
