Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,proba_extreme droite,proba_centre,proba_droite,proba_extreme gauche,prediction
Territoire de Belfort,93724,22238,71486,69654,1242,590,extreme droite,2022,-1.3000000000000007,-0.305628629,-0.27833365900000007,1.914648286,-0.062352674999999996,0.19231558000000004,-1.4614137080000003,-1.3060258109999998,2.433875114,-3.2728924620000006,-2.9490668399999995,-0.43133517099999996,0.5192268279999999,0.9843503007763725,2.6657776244545437E-5,0.015189634266677937,4.3340718070507294E-4,extreme droite
Territoire de Belfort,95340,21608,73732,71574,1400,758,extreme droite,2017,-1.0999999999999996,-0.44225821900000006,-0.10984463700000002,-0.24343656400000002,0.021891254,0.105086012,-0.24148359599999836,-0.0519277090000001,-0.171440885,0.336936445000001,1.1304163469999997,0.08269505600000004,0.07199567799999995,0.9380447519515479,0.030837618550948836,0.03042961770688519,6.880117906180926E-4,extreme droite
Yonne,237957,57549,180408,176511,2715,1182,extreme droite,2022,-2.0,-0.11054807600000016,0.28730262500000014,0.6415353750000001,-0.014012008000000006,0.5492054100000001,-0.6839197229999989,0.3801468259999998,0.5382459129999999,-0.9400138049999995,0.02570996900000022,0.039679042,-0.10328946199999978,0.956296205778462,0.04360679075055034,5.364479178425997E-8,9.694982619599651E-5,extreme droite
Yonne,241918,52739,189179,184553,3404,1222,extreme droite,2017,-0.75,-0.07493558499999997,-0.035777610000000015,0.06918948400000002,-0.008300957999999997,0.196503431,0.6413642179999997,-0.6847001590000001,0.41325109900000045,-0.5018271740000007,-0.5372759389999997,-0.07433408199999997,0.34406161499999977,0.9027403041127109,9.561381854466867E-6,0.09625838260869868,9.91751896735876E-4,extreme droite
Vosges,277913,68914,208999,203694,3431,1874,extreme droite,2022,-2.5250000000000004,-0.09649264000000013,-0.13297121299999992,1.220352246,-0.03760215299999999,0.73009144,-0.7087666539999997,-1.066078246,1.9417917120000001,-0.9155659270000003,-1.5317495020000003,-0.086942304,0.7214394660000001,0.9537689514158231,0.04622556252338065,3.320481410000225E-8,5.452855982082571E-6,extreme droite
Vosges,282612,56393,226219,219502,4720,1997,extreme droite,2017,-1.075000000000001,0.08013928400000014,0.162773599,-0.07044931399999987,0.03284042399999999,0.048597057,0.5700680770000002,0.5349000180000001,-0.22525359599999994,0.281063262,-0.2651642799999996,-0.009315340000000005,-0.15480428199999996,0.9495714347893736,3.061343308843451E-5,0.04671306264888297,0.003684889128655133,extreme droite
Haute-Vienne,263742,55484,208258,202118,3787,2353,centre,2022,-2.1750000000000007,-0.39306645400000007,0.3746206030000001,1.0732316700000002,0.011046651999999997,0.570553984,0.012255048999999296,0.98566295,2.2360031940000002,0.34772462100000023,-1.1211772240000002,0.04473205999999996,1.162771524,0.03809923534081261,0.9617078508960227,1.5780393915366736E-7,1.927559592253721E-4,centre
Haute-Vienne,266322,50620,215702,208414,4478,2810,centre,2017,-0.5,0.03374750000000004,-0.19847448600000006,0.04418675999999999,-0.021263816000000005,0.12618204499999996,-0.4421352650000001,-0.20964623199999988,-0.103433302,0.048565331999999906,0.9505542629999999,-0.05025682299999995,-0.1476200620000001,0.005906062617999784,0.9477315463415258,0.045536085739795784,8.263053006786966E-4,centre
Vienne,306011,68304,237707,231652,4053,2002,centre,2022,-1.7249999999999996,0.27616854,-0.06777972999999982,1.047244323,-0.004885065000000001,0.849896121,-0.2728140879999996,1.0562692349999998,1.6059907229999997,-0.23291158199999984,0.18966937099999992,-0.15273610800000004,0.5587464010000001,0.0380787589550317,0.9619096841961616,1.3682639668469397E-7,1.1420022410047714E-5,centre
Vienne,307014,62127,244887,237748,4741,2398,droite,2017,-0.5749999999999993,-0.199228615,-0.2252884810000002,-0.027419634999999998,0.025115229000000003,0.15013645099999995,0.6454842419999993,-0.17113241599999984,0.21759159399999994,0.10465250599999987,0.8220533530000003,0.040447608000000024,0.24501122899999994,0.052178714043193554,0.08387782429667014,0.8626180381700943,0.0013254234900418706,droite
Vendée,550963,120547,430416,419709,7312,3395,centre,2022,-1.9000000000000012,-0.14925512900000015,0.14206740100000004,0.6146776730000001,-0.0037083509999999986,0.728208877,-0.649944069,-0.4419907139999999,0.817688848,-1.0253053990000005,-0.17307134700000004,-0.09073455899999999,0.20301117599999996,0.05283770429232802,0.9470842505831736,4.064353282536573E-5,3.740159167302318E-5,centre
Vendée,514461,82887,431574,418829,8280,4465,droite,2017,-0.5499999999999989,-0.013366591000000039,0.1551583150000001,-0.022541962000000026,0.008721332999999998,0.08865539699999997,0.19025126499999967,-0.3495882760000004,0.12445174899999989,0.0058233050000007225,0.3942821600000004,0.028294088999999994,0.14699371000000006,1.1852045692049516E-4,0.20270472044774013,0.7943985520303289,0.002778207065010475,droite
Vaucluse,411607,101650,309957,303865,4350,1742,extreme droite,2022,-2.5000000000000018,-0.3703141859999999,0.10424723199999986,0.9759664739999998,-0.014753211000000002,0.442498128,-0.6828003209999984,-1.062258311,1.6059746229999998,-1.2921941389999994,0.1018137750000001,-0.13653569399999999,0.630008149,0.5282002577482077,0.47174442123329113,2.002861860906576E-9,5.531901563932916E-5,extreme droite
Vaucluse,402134,80585,321549,314045,5589,1915,extreme droite,2017,-0.02499999999999858,-0.41170903700000006,-0.5324478239999999,-0.01909293100000009,-0.0036758559999999912,0.006701987999999992,-0.9378765780000009,-0.8194136400000005,-0.07980550200000014,0.025833431000000573,1.0394105960000015,-0.05603760099999999,-0.06071257100000027,0.9098647169050393,0.04476343336282842,0.0447621294484448,6.097202836875325E-4,extreme droite
Var,820904,211212,609692,598730,7803,3159,extreme droite,2022,-2.825,-0.17893240099999996,-0.08203428600000007,1.4154061539999998,-0.044368013,0.5354231340000001,-0.742352833,-0.0023797510000003186,2.2206049859999997,-0.49363285999999995,-3.0332140790000004,-0.46824101399999996,0.8051988309999998,0.9983774636625952,0.0015263722432370594,2.5751800875422526E-7,9.59065761590842E-5,extreme droite
Var,794777,169107,625670,612438,9858,3374,droite,2017,-0.22499999999999964,-0.4862696510000002,-0.05785635,-0.16950620000000005,0.007248019999999994,0.06862792899999998,-0.27937235000000094,-1.0400506790000001,-0.22199987900000018,-0.6499125500000016,1.8210442870000003,-0.031249764000000013,-0.05249367799999982,0.007013618107091642,0.031900641480873265,0.9588950451006604,0.0021906953113747006,droite
Tarn-et-Garonne,188706,39625,149081,145820,2169,1092,extreme droite,2022,-2.2499999999999982,-0.6082027560000001,-0.16389526899999995,1.0707366839999999,-0.039351237,0.336900003,-1.4036060279999996,-2.0242837959999997,1.547890287,-1.471910781,-4.519565812000001,-0.195995205,0.47715360399999995,0.9995290642441944,3.683425986224629E-4,1.4057273789779745E-7,1.0245258444508873E-4,extreme droite
Tarn-et-Garonne,183350,32631,150719,146801,2551,1367,extreme droite,2017,0.42499999999999893,-0.542607542,-0.282063548,0.008263305000000054,0.054037117999999995,0.08968157599999993,-0.3972390430000008,0.6092284559999999,0.08558723099999987,0.04597485499999987,-1.2378056920000002,-0.087650179,0.07732392499999996,0.9006089157967785,2.4595491495197404E-4,0.09645736605627098,0.0026877632319984883,extreme droite
Tarn,298178,62818,235360,229842,3451,2067,extreme droite,2022,-2.2250000000000005,-0.617174483,-0.26530337700000006,1.324257866,-0.028693553000000004,0.706438729,-1.4907644230000008,-1.5792187300000002,1.9302209489999997,-0.6816108599999993,-3.3004902229999997,-0.141350337,0.605963083,0.9986784050065749,0.0013029237497761603,1.0532970808672806E-5,8.138272840339765E-6,extreme droite
