Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Total_Pourcentage_Voix_Exp,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,prediction
Hautes-Alpes,113519,25357,88162,86235,1395,532,gauche,1.69,2022,-1.7750000000000012,-0.39920435200000004,-0.07457605500000009,1.421669938,-0.021165466999999997,0.9479631260000001,-0.154397405000001,-0.748863109,2.3884716510000006,-2.712232202,-0.875286832,-0.26126862,0.966801713,4.97490816212925
Alpes-Maritimes,778582,208250,570332,558775,7550,4007,centre,29.18,2022,-2.4749999999999996,-0.48657997099999983,-0.3994661239999999,1.464364018,-0.017175188999999993,0.541993714,-3.1653805839999993,-0.5378604919999996,2.0853458270000003,-0.28229677999999936,-4.856279306999999,-0.667970701,0.6209818089999999,20.72421738871958
Alpes-Maritimes,778582,208250,570332,558775,7550,4007,droite,10.25,2022,-2.4749999999999996,-0.48657997099999983,-0.3994661239999999,1.464364018,-0.017175188999999993,0.541993714,-3.1653805839999993,-0.5378604919999996,2.0853458270000003,-0.28229677999999936,-4.856279306999999,-0.667970701,0.6209818089999999,26.082121922113508
Alpes-Maritimes,778582,208250,570332,558775,7550,4007,extreme droite,40.65,2022,-2.4749999999999996,-0.48657997099999983,-0.3994661239999999,1.464364018,-0.017175188999999993,0.541993714,-3.1653805839999993,-0.5378604919999996,2.0853458270000003,-0.28229677999999936,-4.856279306999999,-0.667970701,0.6209818089999999,29.123661179946247
Alpes-Maritimes,778582,208250,570332,558775,7550,4007,extreme gauche,18.94,2022,-2.4749999999999996,-0.48657997099999983,-0.3994661239999999,1.464364018,-0.017175188999999993,0.541993714,-3.1653805839999993,-0.5378604919999996,2.0853458270000003,-0.28229677999999936,-4.856279306999999,-0.667970701,0.6209818089999999,22.87077394431006
Alpes-Maritimes,778582,208250,570332,558775,7550,4007,gauche,0.97,2022,-2.4749999999999996,-0.48657997099999983,-0.3994661239999999,1.464364018,-0.017175188999999993,0.541993714,-3.1653805839999993,-0.5378604919999996,2.0853458270000003,-0.28229677999999936,-4.856279306999999,-0.667970701,0.6209818089999999,5.828992652014849
Ardèche,255859,54114,201745,196975,3311,1459,centre,27.36,2022,-2.0,-0.40571229799999986,0.0011654299999999118,0.6777691450000001,0.014677326999999997,0.598877038,-0.5147185969999999,-0.8703562119999999,1.3227479779999998,-0.3666199109999999,-1.2587425049999998,-0.014537542999999986,0.6449788349999999,19.539494628524206
Ardèche,255859,54114,201745,196975,3311,1459,droite,11.94,2022,-2.0,-0.40571229799999986,0.0011654299999999118,0.6777691450000001,0.014677326999999997,0.598877038,-0.5147185969999999,-0.8703562119999999,1.3227479779999998,-0.3666199109999999,-1.2587425049999998,-0.014537542999999986,0.6449788349999999,26.447262881831875
Ardèche,255859,54114,201745,196975,3311,1459,extreme droite,32.39,2022,-2.0,-0.40571229799999986,0.0011654299999999118,0.6777691450000001,0.014677326999999997,0.598877038,-0.5147185969999999,-0.8703562119999999,1.3227479779999998,-0.3666199109999999,-1.2587425049999998,-0.014537542999999986,0.6449788349999999,30.343829289572444
Ardèche,255859,54114,201745,196975,3311,1459,extreme gauche,26.19,2022,-2.0,-0.40571229799999986,0.0011654299999999118,0.6777691450000001,0.014677326999999997,0.598877038,-0.5147185969999999,-0.8703562119999999,1.3227479779999998,-0.3666199109999999,-1.2587425049999998,-0.014537542999999986,0.6449788349999999,20.179192850626876
